Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
S E P T E M B E R,8,Alice Gear Aegis CS: Concerto of Simulatrix[c],"NS, PS4, PS5",Action,Pyramid,Mages,[737]
S E P T E M B E R,8,BPM: Bullets Per Minute,NS,"First-person shooter, rhythm, roguelike",Awe Interactive,Playtonic Friends,[738]
S E P T E M B E R,8,The Fox Awaits Me,PS4,Visual novel,"Cosen, TALESshop",Cosen,[739]
S E P T E M B E R,8,Jack Move,Win,Role-playing,So Romantic,HypeTrain Digital,[740]
S E P T E M B E R,8,Steelrising,"Win, PS5, XSX","Action role-playing, soulslike",Spiders,Nacon,[741]
S E P T E M B E R,8,Tower Princess,"Win, NS, PS4","Roguelite, platform",Awekteam,HypeTrain Digital,[742]
S E P T E M B E R,8,White Day: A Labyrinth Named School,"NS, PS5, XSX",Survival horror,Sonnori,PQube,[743]
S E P T E M B E R,9,NBA 2K23,"Win, NS, PS4, PS5, XBO, XSX",Sports,Visual Concepts,2K Sports,[744]
S E P T E M B E R,9,Oita Beppu Mystery Guide: The Warped Bamboo Lantern[c],PS4,Adventure,Happymeal,Flyhigh Works,[560]
S E P T E M B E R,9,Splatoon 3,NS,Third-person shooter,Nintendo EPD,Nintendo,[745]
S E P T E M B E R,12,Roadwarden,"Win, Mac, Lin","Role-playing, interactive fiction",Moral Anxiety Studio,Assemble Entertainment,[746]
S E P T E M B E R,13,Freedom Planet 2,Win,Platform,GalaxyTrail,GalaxyTrail,[747]
S E P T E M B E R,13,Isonzo,"Win, PS4, PS5, XBO, XSX",First-person shooter,"Blackmill Games, M2H",M2H,[748]
S E P T E M B E R,13,Little Orpheus,"Win, NS, PS4, PS5, XBO, XSX",Adventure,The Chinese Room,Secret Mode,[740]
S E P T E M B E R,13,SCP: Secret Files,Win,Action-adventure,GameZoo Studio,Pixmain,[749]
S E P T E M B E R,13,Sunday Gold,Win,"Role-playing, adventure",BKOM Studios,Team17,[750]
S E P T E M B E R,13,Voice of Cards: The Beasts of Burden,"Win, NS, PS4",Role-playing,Alim,Square Enix,[751]
S E P T E M B E R,13,XIII,NS,"First-person shooter, stealth",Tower Five,Microids,[752]
S E P T E M B E R,15,Bear and Breakfast,NS,Life simulation,Gummy Cat,Armor Games Studios,[753]
S E P T E M B E R,15,Blind Fate: Edo No Yami,"Win, NS, PS4, PS5, XBO, XSX",Action-adventure,Troglobyte Games,101XP,[754]
S E P T E M B E R,15,Despot's Game,"Win, Mac, Lin, NS, PS4, PS5, XBO, XSX","Roguelike, auto battler",Konfa Games,tinyBuild,[755]
S E P T E M B E R,15,Dragon Quest X Offline[c],"Win, NS, PS4, PS5",Massively multiplayer online role-playing,B.B. Studio,Square Enix,[756]
S E P T E M B E R,15,Dungeons 3,NS,"Strategy, simulation",Realmforge Studios,Kalypso Media,[757]
S E P T E M B E R,15,Fairy Fencer F: Refrain Chord[c],"NS, PS4, PS5",Tactical role-playing,Sting,Compile Heart,[758]
S E P T E M B E R,15,fault - StP - Lightkravte,NS,Visual novel,Alice in Dissonance,Phoenixx,[429]
S E P T E M B E R,15,Metal: Hellsinger,"Win, PS5, XSX","First-person shooter, rhythm",The Outsiders,Funcom,[494]
S E P T E M B E R,15,Outer Wilds,"PS5, XSX",Action-adventure,Mobius Digital,Annapurna Interactive,[624]
S E P T E M B E R,15,SBK 22,"Win, PS4, PS5, XBO, XSX",Racing,Milestone srl,Milestone srl,[759]
S E P T E M B E R,15,Trombone Champ,Win,"Music, rhythm",Holy Wow Studios,Holy Wow Studios,[760]
S E P T E M B E R,15,Trinity Trigger[c],"NS, PS4, PS5",Action role-playing,Three Rings,FuRyu,[761]
S E P T E M B E R,19,Return to Monkey Island,"Win, NS",Adventure,"Terrible Toybox, Lucasfilm Games",Devolver Digital,[762]
S E P T E M B E R,19,There is No Light,Win,Action-adventure,Zelart,HypeTrain Digital,[763]
S E P T E M B E R,20,Amnesia: Memories[a],NS,Visual novel,Idea Factory,Idea Factory,[764]
S E P T E M B E R,20,Amnesia: Later×Crowd[a],NS,Visual novel,Idea Factory,Idea Factory,[764]
S E P T E M B E R,20,Construction Simulator,"Win, PS4, PS5, XBO, XSX",Simulation,weltenbauer,Astragon,[765]
S E P T E M B E R,20,Deathloop,XSX,First-person shooter,Arkane Studios,Bethesda Softworks,[766]
S E P T E M B E R,20,Hardspace: Shipbreaker,"PS5, XSX",Simulation,Blackbird Interactive,Focus Entertainment,[762]
S E P T E M B E R,20,Jack Move,"NS, PS4, XBO",Role-playing,So Romantic,HypeTrain Digital,[740]
S E P T E M B E R,20,Soulstice,"Win, PS5, XSX","Action, hack and slash",Reply Game Studios,Modus Games,[749]
S E P T E M B E R,21,Gundam Evolution,Win,First-person shooter,Bandai Namco Online,Bandai Namco Entertainment,[767]
S E P T E M B E R,21,The Outbound Ghost,Win,"Adventure, role-playing",Conradical Games,Digerati,[768]
S E P T E M B E R,22,Beacon Pines,"Win, NS, XBO","Narrative adventure, visual novel",Hiding Spot Games,Fellow Traveller,[769]
S E P T E M B E R,22,Bullet Soul Double Pack[c],NS,Shoot 'em up,Tachyon,Mages,[770]
S E P T E M B E R,22,The Diofield Chronicle,"Win, NS, PS4, PS5, XBO, XSX",Tactical role-playing,"Square Enix, Lancarse",Square Enix,[771]
S E P T E M B E R,22,Jyuzaengi: Engetsu Sangokuden 1&2[c],NS,Visual novel,Otomate,Idea Factory,[772]
S E P T E M B E R,22,My Teen Romantic Comedy SNAFU Game Collection[c],NS,Visual novel,Mages,Mages,[773]
S E P T E M B E R,22,No Place for Bravery,"Win, NS",Action role-playing,Glitch Factory,Ysbyrd Games,[774]
S E P T E M B E R,22,OneShot: World Machine Edition,"NS, PS4, XBO","Adventure, puzzle",Future Cat,Degica,[775]
S E P T E M B E R,22,Piofiore: Episodio 1926[a],NS,Visual novel,Design Factory,Aksys Games,[776]
S E P T E M B E R,22,Potion Permit,"Win, NS, PS4, PS5, XBO, XSX","Simulation, role-playing",MassHive Media,PQube,[777]
S E P T E M B E R,22,River City Girls Zero,"Win, PS4, PS5, XBO, XSX",Beat 'em up,WayForward,Arc System Works,[778]
S E P T E M B E R,22,Serial Cleaners,"Win, NS, PS4, PS5, XBO, XSX","Action, stealth",Draw Distance,505 Games,[779]
S E P T E M B E R,22,Session: Skate Sim,"Win, PS4, PS5, XBO, XSX",Sports,Crea-ture Studios,Nacon,[741]
S E P T E M B E R,22,Valis: The Fantasm Soldier Collection II[c],NS,"Platform, visual novel",El Dia,El Dia,[780]
S E P T E M B E R,23,DreamWorks Dragons: Legends of the Nine Realms,"Win, NS, PS4, PS5, XBO, XSX, Stadia",Adventure,A Heartful of Games,Outright Games,[781]
S E P T E M B E R,23,Prodeus,"Win, Mac, NS, PS4, PS5, XBO, XSX",First-person shooter,Bounding Box Software,Humble Games,[782]
S E P T E M B E R,23,Shovel Knight Dig,"Win, NS, iOS",Action-adventure,Nitrome,Yacht Club Games,[783]
S E P T E M B E R,23,Taiko no Tatsujin: Rhythm Festival,NS,Rhythm,Bandai Namco Studios,Bandai Namco Entertainment,[784]
S E P T E M B E R,26,The Spirit and the Mouse,"Win, NS",Adventure,Alblune,Armor Games Studios,[785]
S E P T E M B E R,27,Alfred Hitchcock – Vertigo[d],"NS, PS4, PS5, XBO, XSX,",Adventure,Pendulo Studios,Microids,[786]
S E P T E M B E R,27,Black Witchcraft,Win,Action role-playing,Quattro Gear,Crest,[787]
S E P T E M B E R,27,Desta: The Memories Between,"iOS, Droid","Turn-based strategy, roguelike",Ustwo,Netflix,[788]
S E P T E M B E R,27,Dome Keeper,"Win, Mac, Lin","Tower defense, roguelike",Bippinbits,Raw Fury,[789]
S E P T E M B E R,27,Dual Universe,Win,"Massively multiplayer online role-playing, sandbox",Novaquark,Novaquark,[790]
S E P T E M B E R,27,Grounded,"Win, XBO, XSX",Survival,Obsidian Entertainment,Xbox Game Studios,[791]
S E P T E M B E R,27,Hokko Life,"Win, NS, PS4, XBO",Social simulation,Wonderscope Games,Team17,[792]
S E P T E M B E R,27,The Legend of Heroes: Trails from Zero[a],"Win, NS, PS4",Role-playing,Nihon Falcom,NIS America,[793]
S E P T E M B E R,27,Life Is Strange: Arcadia Bay Collection,NS,Adventure,"Don't Nod, Deck Nine",Square Enix,[166]
S E P T E M B E R,27,Moonscars,"Win, NS, PS4, PS5, XBO, XSX","Action, platform",Black Mermaid,Humble Games,[794]
S E P T E M B E R,27,Tunic,"NS, PS4, PS5",Action-adventure,Andrew Shouldice,Finji,[795]
S E P T E M B E R,28,Deathverse: Let It Die,"PS4, PS5","Action, survival",Supertrick Games,GungHo Online Entertainment,[796]
S E P T E M B E R,28,Foxhole,Win,"Massively multiplayer online role-playing, sandbox",Siege Camp,Siege Camp,[797]
S E P T E M B E R,28,NeverAwake,Win,Shoot 'em up,Neotro,Phoenixx,[798]
S E P T E M B E R,28,Road Redemption Mobile,"iOS, Droid","Vehicular combat, racing",Pixel Dash Studios,Tripwire Interactive,[799]
S E P T E M B E R,29,Bullet Soul,NS,Shoot 'em up,Tachyon,Mages,[800]
S E P T E M B E R,29,Bullet Soul: Infinite Burst,NS,Shoot 'em up,Tachyon,Mages,[800]
S E P T E M B E R,29,Desta: The Memories Between,iOS,Turn-based strategy,Ustwo Games,Netflix,[801]
S E P T E M B E R,29,Dorfromantik,NS,"Puzzle, city-building",Toukana Interactive,Toukana Interactive,[762]
S E P T E M B E R,29,Harvest OverRay + Ano Ko wa Ore kara Hanarenai[c],"NS, PS4",Visual novel,Giga,Entergram,[802]
S E P T E M B E R,29,KonoSuba: God's Blessing on this Wonderful World! Cursed Relic and the Perplexed Adventurers[c],"NS, PS4",Role-playing,Entergram,Entergram,[803]
S E P T E M B E R,29,La Campanella della Eterno[c],NS,Visual novel,Windmill Oasis,Ares,[804]
S E P T E M B E R,29,Labyrinth of Zangetsu[c],"Win, NS, PS4",Role-playing,KaeruPanda,Acquire,[805]
S E P T E M B E R,29,The Legend of Heroes: Kuro no Kiseki II -CRIMSON SiN-[c],"PS4, PS5",Role-playing,Nihon Falcom,Nihon Falcom,[806]
S E P T E M B E R,29,Little Witch Nobeta,"Win, NS, PS4",Soulslike,"Pupuya Games, SimonCreative",Justdan International,[807]
S E P T E M B E R,29,New Prince of Tennis LET’S GO!! ~Daily Life~ from RisingBeat[c],NS,Visual novel,HuneX,Bushiroad,[808]
S E P T E M B E R,29,Pathfinder: Wrath of the Righteous,"NS, PS4, XBO",Role-playing,Owlcat Games,Prime Matter,[809]
S E P T E M B E R,29,Post Void,"NS, PS4, PS5","First-person shooter, roguelite",YCJY Games,Super Rare Originals,[810]
S E P T E M B E R,29,Railgrade,"Win, NS","Train simulation, strategy",Minakata Dynamics,Epic Games,[811]
S E P T E M B E R,29,Bonelab,"Win, Quest 2",First-person shooter,Stress Level Zero,Stress Level Zero,[812]
S E P T E M B E R,29,Sam & Max Beyond Time and Space Remastered,PS4,Graphic adventure,Skunkape Games,Skunkape Games,[813]
S E P T E M B E R,29,Sam & Max Save the World Remastered,PS4,Graphic adventure,Skunkape Games,Skunkape Games,[813]
S E P T E M B E R,29,Valkyrie Elysium,"PS4, PS5",Action role-playing,Soleil,Square Enix,[814]
S E P T E M B E R,30,Airoheart,"Win, NS, PS4, PS5, XBO, XSX","Action-adventure, role-playing",Pixel Heart Studio,Soedesco,[815]
S E P T E M B E R,30,Blade Assault,"NS, PS4, PS5, XBO, XSX","Action, roguelite, platform",Team Suneat,PM Studios,[816]
S E P T E M B E R,30,Bunny Park,"NS, PS4, PS5, XBO, XSX",Construction and management simulation,Cozy Bee Games,Soedesco,[817]
S E P T E M B E R,30,FIFA 23,"Win, NS, PS4, PS5, XBO, XSX, Stadia",Sports,"EA Vancouver, EA Romania",EA Sports,[818]
S E P T E M B E R,30,Lemon Cake,"NS, PS4, PS5, XBO, XSX",Management simulation,Cozy Bee Games,Soedesco,[817]
S E P T E M B E R,30,My Little Pony: A Maretime Bay Adventure,PS5,Adventure,Bandai Namco Studios,Outright Games Ltd.,[819]
S E P T E M B E R,30,Paw Patrol: Grand Prix,"Win, NS, PS4, PS5, XBO, XSX, Stadia",Racing,3D Clouds,Outright Games Ltd.,[820]
S E P T E M B E R,30,Stella of the End,Win,Visual novel,Key,Visual Arts,[821]
